sku,brand,catalog,family,series,category,category_slug,name,short_desc,measuring_principle,measuring_range,accuracy,process_temp,process_pressure,process_connection,wetted_parts,output_comm,key_features,approvals,datasheet_ti,image,source_pdf,status
FMI51,Endress+Hauser,Level,Liquicap,,Capacitance (Liquicap),level-capacitance-liquicap,Liquicap FMI51,Rod probe capacitance level,Capacitance,4 m / 13 ft,±1 %,-80 to +200 °C,-1 to +100 bar / +1450 psi,"Thread ½–1½, flanges EN/ANSI/JIS, hygienic","316L, PFA, PTFE",4–20 mA HART,"Rod probe, gastight optional",,TI00401F,FMI51.png,CP00023F_EN_2126,active
FMI52,Endress+Hauser,Level,Liquicap,,Capacitance (Liquicap),level-capacitance-liquicap,Liquicap FMI52,Rope probe capacitance level,Capacitance,10 m / 32 ft,±1 %,-80 to +200 °C,-1 to +100 bar / +1450 psi,"Thread ½–1½, flanges EN/ANSI/JIS, hygienic","316L, PFA, FEP",4–20 mA HART,"Rope probe, gastight optional",,TI00401F,FMI52.png,CP00023F_EN_2126,active
FMI21,Endress+Hauser,Level,Liquicap,,Capacitance (Liquicap),level-capacitance-liquicap,Liquicap FMI21,Compact capacitance level,Capacitance,2.5 m / 8.2 ft,±1 %,-40 to +100 °C,-1 to +10 bar / +145 psi,"Thread 1½""","316L, PP, carbon fiber",4–20 mA / IO-Link,Compact,,TI00393F,FMI21.png,CP00023F_EN_2126,active
NMS80,Endress+Hauser,Level,Proservo,,Servo Tank Gauging (Proservo),level-servo-tank-gauging-proservo,Proservo NMS80,Multiparameter (level/density/interface),Servo – Tank Gauging,36 m / 118 ft,"±0.4 mm / 0.02""",-200 to +200 °C,0.2 to +6 bar / +87 psi,"DN80–DN150 / 3–6""","316L, Alloy C276, PTFE",Tank gauging (Modbus/HART),"Level, density, interface, gastight std",,TI01248G,NMS80.png,CP00023F_EN_2126,active
NMS81,Endress+Hauser,Level,Proservo,,Servo Tank Gauging (Proservo),level-servo-tank-gauging-proservo,Proservo NMS81,High-pressure servo gauging,Servo – Tank Gauging,47 m / 154 ft,"±0.4 mm / 0.02""",-200 to +200 °C,0 to +25 bar / +362 psi,"DN80–DN150 / 3–6""","316L, Alloy C276, PTFE",Tank gauging,High pressure,,TI01249G,NMS81.png,CP00023F_EN_2126,active
NMS83,Endress+Hauser,Level,Proservo,,Servo Tank Gauging (Proservo),level-servo-tank-gauging-proservo,Proservo NMS83,Custody transfer servo gauging,Servo – Tank Gauging,22 m / 72 ft,"±0.4 mm / 0.02""",-200 to +200 °C,0 to +6 bar / +87 psi,"DN80–DN150 / 3–6""","316L, 316 polished, PTFE",Tank gauging,Custody transfer,,TI01250G,NMS83.png,CP00023F_EN_2126,active
PMC51B,Endress+Hauser,Level,Cerabar,,Hydrostatic Level,level-hydrostatic-level,Cerabar PMC51B,Ceramic hydrostatic level,Hydrostatic,(pressure/level),±0.075% (0.055% opt.),-40 to +100 °C,100 mbar to 40 bar,"Thread, flange, hygienic","316L, Al2O3, sealings, PVDF",4–20 mA HART / APL,"Ceramic cell, Bluetooth",,TI01506P,PMC51B_hyd.png,CP00023F_EN_2126,active
PMP51B,Endress+Hauser,Level,Cerabar,,Hydrostatic Level,level-hydrostatic-level,Cerabar PMP51B,Metallic hydrostatic level,Hydrostatic,(pressure/level),±0.075% (0.055% opt.),-70 to +400 °C,400 mbar to 400 bar,"Thread, flange, hygienic","316L, Alloy, Tantalum, Monel, Gold",4–20 mA HART / APL,"Metal welded, Bluetooth",,TI01508P,PMP51B_hyd.png,CP00023F_EN_2126,active
FMB50,Endress+Hauser,Level,Deltapilot,,Hydrostatic Level,level-hydrostatic-level,Deltapilot FMB50,Compact hydrostatic level,Hydrostatic,100 mbar to 10 bar,±0.2% (0.1% opt.),-10 to +100 °C,100 mbar to 10 bar / +150 psi,"Thread, flange, hygienic","316L, Alloy",4–20 mA HART,Contite condensate-proof,,TI00437P,FMB50_hyd.png,CP00023F_EN_2126,active
PMC71B,Endress+Hauser,Level,Cerabar,,Hydrostatic Level,level-hydrostatic-level,Cerabar PMC71B,High-perf ceramic hydrostatic,Hydrostatic,(pressure/level),±0.05% (0.025% opt.),-40 to +150 °C,100 mbar to 40 bar,"Thread, flange, hygienic","316L, Al2O3, sealings, PVDF",4–20 mA HART / APL / PA,"Heartbeat, HistoROM",,TI01507P,PMC71B_hyd.png,CP00023F_EN_2126,active
PMP71B,Endress+Hauser,Level,Cerabar,,Hydrostatic Level,level-hydrostatic-level,Cerabar PMP71B,High-perf metallic hydrostatic,Hydrostatic,(pressure/level),±0.05% (0.025% opt.),-70 to +400 °C,400 mbar to 700 bar,"Thread, flange, hygienic","316L, Alloy, Tantalum, Monel, Gold",4–20 mA HART / APL / PA,"Heartbeat, HistoROM",,TI01509P,PMP71B_hyd.png,CP00023F_EN_2126,active
FMB70,Endress+Hauser,Level,Deltapilot,,Hydrostatic Level,level-hydrostatic-level,Deltapilot FMB70,High-perf hydrostatic level,Hydrostatic,100 mbar to 10 bar,±0.1% (0.075% opt.),-10 to +100 °C,100 mbar to 10 bar / +150 psi,"Thread, flange, hygienic","316L, Alloy",4–20 mA HART,"Contite, high performance",,TI00416P,FMB70_hyd.png,CP00023F_EN_2126,active
FMX11 / FMX21,Endress+Hauser,Level,Waterpilot,,Hydrostatic Level,level-hydrostatic-level,Waterpilot FMX11 / FMX21,Submersible level probe,Hydrostatic,100 mbar to 20 bar,±0.2% (0.1% opt.),-10 to +70 °C,100 mbar to 20 bar / +300 psi,"Mounting clamp, cable, screw","316L, Al2O3, FKM, EPDM, PE, FEP, PUR",4–20 mA HART / Pt100,Submersible probe,,TI00351P / TI00431P,FMX11-FMX21.png,CP00023F_EN_2126,active
FMB51 / FMB52 / FMB53,Endress+Hauser,Level,Deltapilot,,Hydrostatic Level,level-hydrostatic-level,Deltapilot FMB51 / FMB52 / FMB53,Rod / rope hydrostatic level,Hydrostatic,100 mbar to 10 bar,±0.2% (0.1% opt.),-10 to +85 °C,100 mbar to 10 bar / +150 psi,"Thread, flange","316L, Alloy, PE, FEP",4–20 mA HART / PA / FF,Rope & rod variants,,TI00437P,FMB51-52-53.png,CP00023F_EN_2126,active
PMD55B,Endress+Hauser,Level,Deltabar,,Differential Pressure Level (Deltabar),level-differential-pressure-level-deltabar,Deltabar PMD55B,DP level (compact robust),Differential pressure,30 mbar to 40 bar,±0.075% (0.055% opt.),-40 to +110 °C,30 mbar to 40 bar / +600 psi,"Oval flange ¼-18 NPT, IEC61518","316L, Alloy",4–20 mA HART / APL,"Bluetooth, dp level",,TI01510P,PMD55B.png,CP00023F_EN_2126,active
FMD71 / FMD72,Endress+Hauser,Level,Deltabar,,Differential Pressure Level (Deltabar),level-differential-pressure-level-deltabar,Deltabar FMD71 / FMD72,Electronic dp level (no capillaries),Differential pressure,100 mbar to 40 bar,single ±0.05% / system ±0.07%,-40 to +150 °C,100 mbar to 40 bar / +600 psi,"Thread, flange, flush hygienic","316L, Alloy C276, Ceraphire ceramics",4–20 mA HART,"Electronic dp, no impulse lines",,TI01033P,FMD71-FMD72.png,CP00023F_EN_2126,active
PMD75B,Endress+Hauser,Level,Deltabar,,Differential Pressure Level (Deltabar),level-differential-pressure-level-deltabar,Deltabar PMD75B,High-perf DP level,Differential pressure,10 mbar to 250 bar,±0.05% (0.035% opt.),-40 to +110 °C,10 mbar to 250 bar / +3750 psi,"Oval flange ¼-18 NPT, IEC61518","316L, Alloy, Monel, Tantalum, Gold",4–20 mA HART / APL / PA,"Heartbeat, HistoROM",,TI01511P,PMD75B.png,CP00023F_EN_2126,active
PMD78B,Endress+Hauser,Level,Deltabar,,Differential Pressure Level (Deltabar),level-differential-pressure-level-deltabar,Deltabar PMD78B,DP level with diaphragm seals,Differential pressure,100 mbar to 40 bar,±0.1%,-40 to +400 °C,100 mbar to 40 bar / +600 psi,"Thread, flange, hygienic","316L, Alloy, Monel, Tantalum, PTFE, Gold",4–20 mA HART / APL / PA,"Diaphragm seals, high temp",,TI01512P,PMD78B.png,CP00023F_EN_2126,active
FMR66B,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot FMR66B,Corrosive & abrasive bulk solids,Radar (non-contact),125 m / 410 ft,"±3 mm / 0.12""",-196 to +450 °C,-1 to +160 bar / +2320 psi,"Threads, flanges (DIN, ASME, JIS); min DC 1.6",316L / Alloy,2-wire HART/PA/APL,"Heartbeat, large measuring ranges",,TI (see product page),FMR66B-FMR67B.png,CP00023F_EN_2126,active
FMR67B,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot FMR67B,Bulk solids with air-purge for build-up,Radar (non-contact),125 m / 410 ft,"±3 mm / 0.12""",-196 to +450 °C,-1 to +160 bar / +2320 psi,"Threads, flanges (DIN, ASME, JIS); min DC 1.6",316L / Alloy,2-wire HART/PA/APL,"Air-purge connection, Heartbeat",,TI (see product page),FMR66B-FMR67B.png,CP00023F_EN_2126,active
FMR10B / FMR20B / FMR30B,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot FMR10B / FMR20B / FMR30B,Compact radar for solids,Radar (non-contact),30 m / 98 ft,"±4 mm / 0.16""",-40 to +80 °C,-1 to +3 bar / +43.5 psi,"Threads, flanges; min DC 1.6",PVDF,2-wire HART,"Compact, easy install",,TI01805F / TI01806F,FMR10B-20B-30B-sol.png,CP00023F_EN_2126,active
FMR43 (solids),Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot FMR43 (solids),Compact & hygienic radar for solids,Radar (non-contact),15 m / 49 ft,"±3 mm / 0.12""",-40 to +150 °C,-1 to +20 bar / +290 psi,"Threads, hygienic; min DC 1.4","PEEK, PTFE, 316L",2-wire HART / IO-Link,"Heartbeat, purge-air option",,TI01728F / TI01729F,FMR43-sol.png,CP00023F_EN_2126,active
FMP56,Endress+Hauser,Level,Levelflex,,Guided Radar (Levelflex),level-guided-radar-levelflex,Levelflex FMP56,"Powdery solids, angled surfaces",Guided radar (TDR),12 m / 39 ft rope,±2 mm (<15 m) / ±10 mm,-40 to +120 °C,-1 to +16 bar / +232 psi,"¾"" (G, NPT), adapter flange","304 / 1.4301, PA-coated rope",2-wire HART/PA/FF,"Exchangeable rope probes, EoP algorithm",,TI (see product page),FMP56.png,CP00023F_EN_2126,active
FMP57,Endress+Hauser,Level,Levelflex,,Guided Radar (Levelflex),level-guided-radar-levelflex,Levelflex FMP57,"Powdery & grained bulk, high silos",Guided radar (TDR),"45 m / 148 ft rope, 4 m rod",±2 mm (<15 m) / ±10 mm,-40 to +150 °C,-1 to +16 bar / +232 psi,"1½"" (G, NPT), flange",304 / 1.4301,2-wire/4-wire HART/PA/FF,"High silos, coated rope option",,TI (see product page),FMP57.png,CP00023F_EN_2126,active
FDU90 (sensor),Endress+Hauser,Level,Prosonic S,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic S FDU90 (sensor),Short-range solids sensor,Ultrasonic,1.2 m / 3.9 ft,±2 mm / 0.08%,-40 to +80 °C,+0.7 to +4 bar / +58 psi,"Rear 1"" / front 1½""",PVDF,via FMU90/95,Beam angle 12°,,TI01469F,FDU90.png,CP00023F_EN_2126,active
FDU91 (sensor),Endress+Hauser,Level,Prosonic S,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic S FDU91 (sensor),Solids sensor,Ultrasonic,5 m / 16 ft,±2 mm / 0.08%,-40 to +80 °C,+0.7 to +4 bar / +58 psi,"1""",PVDF,via FMU90/95,Beam angle 9°,,TI01470F,FDU91.png,CP00023F_EN_2126,active
FDU91F (sensor),Endress+Hauser,Level,Prosonic S,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic S FDU91F (sensor),High-temp solids sensor,Ultrasonic,5 m / 16 ft,±2 mm / 0.08%,-40 to +105 °C,+4 bar / +58 psi,"1"", Tri-Clamp, collar flange",316L,via FMU90/95,"High temp, beam 12°",,TI01471F,FDU91F.png,CP00023F_EN_2126,active
FDU92 (sensor),Endress+Hauser,Level,Prosonic S,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic S FDU92 (sensor),Medium-range solids sensor,Ultrasonic,10 m / 32 ft,±2 mm / 0.08%,-40 to +95 °C,+4 bar / +58 psi,"1""",PVDF,via FMU90/95,Beam angle 11°,,TI01472F,FDU92.png,CP00023F_EN_2126,active
FDU93 (sensor),Endress+Hauser,Level,Prosonic S,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic S FDU93 (sensor),Narrow-beam solids sensor,Ultrasonic,15 m / 49 ft,±2 mm / 0.08%,-40 to +95 °C,+3 bar / +43.5 psi,"1""","UP, Alu, PTFE",via FMU90/95,Narrow beam 4°,,TI (see product page),FDU93.png,CP00023F_EN_2126,active
FDU95 (sensor),Endress+Hauser,Level,Prosonic S,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic S FDU95 (sensor),Long-range / high-temp solids sensor,Ultrasonic,45 m / 150 ft,±2 mm / 0.08%,-40 to +150 °C,+1.5 bar / +22 psi,"1""","UP, 316L, PE",via FMU90/95,"Long range, high temp, beam 5°",,TI (see product page),FDU95.png,CP00023F_EN_2126,active
FMU40 / FMU41,Endress+Hauser,Level,Prosonic M,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic M FMU40 / FMU41,Compact ultrasonic for solids,Ultrasonic,FMU40 2 m / FMU41 3.5 m,±2 mm / 0.08%,-40 to +80 °C,+0.7 to +3 bar / +43.5 psi,"1.5"" / 2""",PVDF / EPDM,4–20 mA HART / PROFIBUS,"Compact, attractive price",,TI01456F / TI01457F,FMU40.png,CP00023F_EN_2126,active
FMU42 / FMU44,Endress+Hauser,Level,Prosonic M,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic M FMU42 / FMU44,"Ultrasonic for solids, larger range",Ultrasonic,FMU42 5 m / FMU44 10 m,±4 mm / 0.15%,-40 to +80 °C,+0.7 to +2.5 bar / +36 psi,"DN80/100/150/200, assembly bracket","PVDF/EPDM/Viton, flange PP/PVDF/316L",4–20 mA HART / PROFIBUS,Larger measuring range,,TI01458F / TI01460F,FMU44.png,CP00023F_EN_2126,active
FMM50,Endress+Hauser,Level,Silopilot,,Electromechanical (Silopilot),level-electromechanical-silopilot,Silopilot FMM50,"Heavy bulk solids, plumb-bob",Electromechanical,70 m / 230 ft (special 90 m),"±5 cm / ±2"" or ±1 pulse",-20 to +230 °C,+0.8 to +3 bar / +43.5 psi,Counterflange DN100 PN16,"Alu, steel, stainless (301/304/316/316Ti), Polyester, PVC","4–20 mA / relay, ATEX II 1/2D, IP67",Tensile force max 500 N,,TI (see product page),FMM50.png,CP00023F_EN_2126,active
FMM20,Endress+Hauser,Level,Silopilot,,Electromechanical (Silopilot),level-electromechanical-silopilot,Silopilot FMM20,"Light bulk solids, plumb-bob",Electromechanical,32 m / 105 ft,"±2.5 cm / ±1"" or ±1 pulse",-20 to +150 °C,+0.8 to +1.1 bar / +16 psi,Counterflange DN100 PN16,"Alu, steel, stainless, plastic, polyester","0/4–20 mA / relay, ATEX II 1/2D, IP67",Tensile force max 150 N,,TI (see product page),FMM20.png,CP00023F_EN_2126,active
TMT31,Endress+Hauser,Temperature,iTEMP,,Temperature Transmitters,temp-transmitters,iTEMP TMT31,"Head transmitter, compact, Bluetooth",RTD or TC,-,,-,,Head mount (DIN B),,4-20 mA,Bluetooth configuration; programmable,"Ex ec: ATEX, CSA C/US; DNV",,TMT31.png,FA00006_EN_2325,active
TMT36,Endress+Hauser,Temperature,iTEMP,,Temperature Transmitters,temp-transmitters,iTEMP TMT36,"Head transmitter, IO-Link",RTD,-,,-,,Head mount (DIN B),,IO-Link,Bluetooth technology,CSA C/US,,TMT36.png,FA00006_EN_2325,active
TMT71,Endress+Hauser,Temperature,iTEMP,,Temperature Transmitters,temp-transmitters,iTEMP TMT71,"Head transmitter, HART, single input",Universal (RTD/TC/mV/Ohm),-,,-,,Head mount (DIN B),,4-20 mA,Bluetooth technology,"Ex ia/Ex d: ATEX, IECEx, INMETRO, NEPSI, UK Ex; IS/XP: CSA C/US; DNV",,TMT71.png,FA00006_EN_2325,active
TMT72,Endress+Hauser,Temperature,iTEMP,,Temperature Transmitters,temp-transmitters,iTEMP TMT72,"Head transmitter, HART",Universal (RTD/TC/mV/Ohm),-,,-,,Head mount (DIN B),,4-20 mA HART,Bluetooth technology,"Ex ia/Ex d: ATEX, IECEx, INMETRO, NEPSI, UK Ex; IS/XP: CSA C/US; DNV",,TMT72.png,FA00006_EN_2325,active
TMT142B,Endress+Hauser,Temperature,iTEMP,,Temperature Transmitters,temp-transmitters,iTEMP TMT142B,"Field transmitter, HART, universal input",Universal (RTD/TC/mV/Ohm),-,,-,,Field housing,,4-20 mA HART,Backlit display; integrated overvoltage protection,"Ex ia/Ex d: ATEX, IECEx, INMETRO, NEPSI, UK Ex; IS/XP/NI: FM, CSA",,TMT142B.png,FA00006_EN_2325,active
TMT162,Endress+Hauser,Temperature,iTEMP,,Temperature Transmitters,temp-transmitters,iTEMP TMT162,"Field transmitter, universal, fieldbus",Universal (RTD/TC/mV/Ohm),-,,-,,Field housing (dual compartment),,4-20 mA HART; FOUNDATION Fieldbus; PROFIBUS PA,Backlit display; dual compartment housing; overvoltage protection,"Ex ia/Ex d: ATEX, IECEx, INMETRO, NEPSI, UK Ex; IS/XP/NI: FM, CSA; SIL 2/SC 3; DNV, ABS, LR, BV",,TMT162.png,FA00006_EN_2325,active
TMT82,Endress+Hauser,Temperature,iTEMP,,Temperature Transmitters,temp-transmitters,iTEMP TMT82,"Head transmitter, universal, dual input",Universal (RTD/TC/mV/Ohm),-,,-,,Head mount (DIN B),,4-20 mA HART,Dual sensor input (2); SIL; sensor drift/back-up,"Ex ia/Ex d: ATEX, IECEx, INMETRO, NEPSI, UK Ex; IS/XP/NI: FM, CSA; SIL 2/SC 3",,TMT82.png,FA00006_EN_2325,active
TMT84,Endress+Hauser,Temperature,iTEMP,,Temperature Transmitters,temp-transmitters,iTEMP TMT84,"Head transmitter, FOUNDATION Fieldbus",Universal (RTD/TC/mV/Ohm),-,,-,,Head mount (DIN B),,PROFIBUS PA,Dual sensor input (2),"Ex ia/Ex d: ATEX, IECEx, INMETRO, NEPSI, UK Ex",,TMT84.png,FA00006_EN_2325,active
TMT85,Endress+Hauser,Temperature,iTEMP,,Temperature Transmitters,temp-transmitters,iTEMP TMT85,"Head transmitter, PROFIBUS PA",Universal (RTD/TC/mV/Ohm),-,,-,,Head mount (DIN B),,FOUNDATION Fieldbus,Dual sensor input (2),"Ex ia/Ex d: ATEX, IECEx, INMETRO, NEPSI, UK Ex",,TMT85.png,FA00006_EN_2325,active
TMT86,Endress+Hauser,Temperature,iTEMP,,Temperature Transmitters,temp-transmitters,iTEMP TMT86,"Head transmitter, PROFINET over Ethernet-APL",Universal (RTD/TC/mV/Ohm),-,,-,,Head mount (DIN B),,PROFINET over Ethernet-APL (2-wire Ethernet IEEE 802.3cg 10BASE-T1L),Advanced Ethernet-APL diagnostics,"Ex ia/Ex d: ATEX, IECEx, NEPSI; IS/XP/NI: CSA C/US",,TMT86.png,FA00006_EN_2325,active
TST310,Endress+Hauser,Temperature,Omnigrad S,,Cable Probes,temp-cable-probes,Omnigrad S TST310,"Cable probe with affixed connecting cable, metric",RTD / TC,RTD: -200 to +600 C (-328 to +1112 F); TC: -270 to +1100 C (-454 to +2012 F),,RTD: -200 to +600 C (-328 to +1112 F); TC: -270 to +1100 C (-454 to +2012 F),,Cable / spring-loaded,,-,Permanently affixed cable,"ATEX/IECEx Ex ia, Ex nA; NEPSI; UK",,TST310.png,FA00006_EN_2325,active
TSC310,Endress+Hauser,Temperature,Omnigrad S,,Cable Probes,temp-cable-probes,Omnigrad S TSC310,"Cable probe, imperial design",RTD / TC,RTD: -200 to +600 C (-328 to +1112 F); TC: -270 to +1100 C (-454 to +2012 F),,RTD: -200 to +600 C (-328 to +1112 F); TC: -270 to +1100 C (-454 to +2012 F),,Cable / spring-loaded,,-,Imperial design,"ATEX/IECEx Ex ia, Ex nA; NEPSI; UK",,TSC310.png,FA00006_EN_2325,active
TH12,Endress+Hauser,Temperature,iTHERM,,Cable Probes,temp-cable-probes,iTHERM TH12,"Cable probe, RTD",RTD,-200 to +200 C (-328 to +392 F),,-200 to +200 C (-328 to +392 F),,Cable,,-,With affixed connecting cable,-,,TH12.png,FA00006_EN_2325,active
TH52,Endress+Hauser,Temperature,iTHERM,,Cable Probes,temp-cable-probes,iTHERM TH52,"Cable probe, TC",TC,-270 to +1372 C (-454 to +2500 F),,-270 to +1372 C (-454 to +2500 F),,Cable,,-,With affixed connecting cable,-,,TH52.png,FA00006_EN_2325,active
TH56,Endress+Hauser,Temperature,iTHERM,,Cable Probes,temp-cable-probes,iTHERM TH56,Cable probe with plug connector,TC,-270 to +1372 C (-454 to +2500 F),,-270 to +1372 C (-454 to +2500 F),,Cable with plug connector,,-,Plug connector,-,,TH56.png,FA00006_EN_2325,active
TMR31,Endress+Hauser,Temperature,iTHERM CompactLine,,Compact Thermometers,temp-compact-thermometers,iTHERM CompactLine TMR31,"Compact thermometer, industrial, integrated transmitter",RTD,-50 to +200 C (-58 to +392 F),,-50 to +200 C (-58 to +392 F),,Thread or compression fitting,,4-20 mA,Integrated transmitter,UL; ASME; FDA; 3-A; CSA C/US; DNV,,TMR31.png,FA00006_EN_2325,active
TMR35,Endress+Hauser,Temperature,iTHERM CompactLine,,Compact Thermometers,temp-compact-thermometers,iTHERM CompactLine TMR35,"Compact thermometer, hygienic, integrated transmitter",RTD,-50 to +200 C (-58 to +392 F),,-50 to +200 C (-58 to +392 F),,Hygienic process connection,,4-20 mA; IO-Link,Integrated transmitter; hygienic,EHEDG; ASME; FDA; 3-A; ATEX,,TMR35.png,FA00006_EN_2325,active
TM311,Endress+Hauser,Temperature,iTHERM TipSens,,Compact Thermometers,temp-compact-thermometers,iTHERM TipSens TM311,"Compact hygienic thermometer, fast response",RTD,-50 to +150 C (-58 to +302 F),,-50 to +150 C (-58 to +302 F),,Hygienic process connection,,"4-20 mA, HART",iTHERM TipSens fast response; hygienic tee/elbow thermowells,EHEDG; Ex; UK Ex ia; IECEx Ex ia,,TM311.png,FA00006_EN_2325,active
TM371,Endress+Hauser,Temperature,iTHERM TrustSens,,Compact Thermometers,temp-compact-thermometers,iTHERM TrustSens TM371,"Self-calibrating hygienic thermometer, metric",RTD,-40 to +190 C (-40 to +374 F),,-40 to +190 C (-40 to +374 F),,Hygienic process connection,,"4-20 mA, HART",Fully automated traceable inline self-calibration,EHEDG; CSA C/US,,TM371.png,FA00006_EN_2325,active
TM372,Endress+Hauser,Temperature,iTHERM TrustSens,,Compact Thermometers,temp-compact-thermometers,iTHERM TrustSens TM372,"Self-calibrating hygienic thermometer, imperial",RTD,-40 to +190 C (-40 to +374 F),,-40 to +190 C (-40 to +374 F),,Hygienic process connection,,"4-20 mA, HART",Fully automated traceable inline self-calibration,EHEDG; CSA C/US,,TM372.png,FA00006_EN_2325,active
TTR31,Endress+Hauser,Temperature,iTHERM,,Compact Thermometers,temp-compact-thermometers,iTHERM TTR31,"Temperature switch, industrial",RTD,-50 to +150 C (-58 to +302 F),,-50 to +150 C (-58 to +302 F),,Thread or compression fitting,,1/2 PNP switch outputs,Temperature switch,UL; CSA C/US; 3-A,,TTR31.png,FA00006_EN_2325,active
TTR35,Endress+Hauser,Temperature,iTHERM,,Compact Thermometers,temp-compact-thermometers,iTHERM TTR35,"Temperature switch, hygienic",RTD,-50 to +150 C (-58 to +302 F),,-50 to +150 C (-58 to +302 F),,Hygienic process connection,,1/2 PNP switch outputs,Temperature switch; hygienic,UL; CSA C/US; 3-A; EHEDG,,TTR35.png,FA00006_EN_2325,active
TM101,Endress+Hauser,Temperature,iTHERM ModuLine,,Industrial Modular Thermometers,temp-industrial-modular-thermometers,iTHERM ModuLine TM101,"Modular thermometer, direct contact, best price/performance",RTD / TC,TC: -40 to +650 C; RTD: -50 to +200 C,,TC: -40 to +650 C; RTD: -50 to +200 C,,Direct contact (no thermowell),,"4-20 mA, HART, IO-Link",Best price/performance ratio,-,,TM101.png,FA00006_EN_2325,active
TM111,Endress+Hauser,Temperature,iTHERM ModuLine,,Industrial Modular Thermometers,temp-industrial-modular-thermometers,iTHERM ModuLine TM111,"Modular thermometer, direct contact, StrongSens",RTD / TC,TC: -40 to +1100 C; RTD: -200 to +600 C,,TC: -40 to +1100 C; RTD: -200 to +600 C,,Direct contact (no thermowell),,"4-20 mA, HART, PROFINET/APL, FF, IO-Link, PROFIBUS PA",iTHERM StrongSens/QuickSens/QuickNeck; dual compartment housing,ATEX/IECEx Ex ia/nA/ec/tc/ta-tb/db; CSA C/US; INMETRO; NEPSI; UK Ex,,TM111.png,FA00006_EN_2325,active
TM112,Endress+Hauser,Temperature,iTHERM ModuLine,,Industrial Modular Thermometers,temp-industrial-modular-thermometers,iTHERM ModuLine TM112,"Modular thermometer, direct contact, imperial",RTD / TC,TC: -40 to +1100 C; RTD: -200 to +600 C,,TC: -40 to +1100 C; RTD: -200 to +600 C,,"Direct contact (no thermowell), imperial",,"4-20 mA, HART, PROFINET/APL, FF, IO-Link, PROFIBUS PA",iTHERM StrongSens/QuickSens,ATEX/IECEx Ex ia/nA/ec/tc/ta-tb/db; CSA C/US; INMETRO; NEPSI; UK Ex,,TM112.png,FA00006_EN_2325,active
TM121,Endress+Hauser,Temperature,iTHERM ModuLine,,Industrial Modular Thermometers,temp-industrial-modular-thermometers,iTHERM ModuLine TM121,"Modular thermometer, welded thermowell",RTD / TC,TC: -40 to +650 C; RTD: -50 to +200 C,,TC: -40 to +650 C; RTD: -50 to +200 C,,Welded thermowell,,"4-20 mA, HART, IO-Link",Best price/performance ratio,-,,TM121.png,FA00006_EN_2325,active
TM131,Endress+Hauser,Temperature,iTHERM ModuLine,,Industrial Modular Thermometers,temp-industrial-modular-thermometers,iTHERM ModuLine TM131,"Modular thermometer, welded thermowell, StrongSens",RTD / TC,TC: -40 to +1100 C; RTD: -200 to +600 C,,TC: -40 to +1100 C; RTD: -200 to +600 C,,Welded thermowell,,"4-20 mA, HART, PROFINET/APL, FF, IO-Link, PROFIBUS PA",iTHERM StrongSens/QuickSens/QuickNeck/TwistWell/QuickSleeve; Dual Seal,ATEX/IECEx; CSA C/US; INMETRO; NEPSI; UK Ex; SIL 2/SC 3; DNV,,TM131.png,FA00006_EN_2325,active
TM151,Endress+Hauser,Temperature,iTHERM ModuLine,,Industrial Modular Thermometers,temp-industrial-modular-thermometers,iTHERM ModuLine TM151,"Modular thermometer, barstock thermowell",RTD / TC,TC: -40 to +650 C; RTD: -50 to +200 C,,TC: -40 to +650 C; RTD: -50 to +200 C,,Barstock thermowell,,"4-20 mA, HART, IO-Link",Best price/performance ratio,-,,TM151.png,FA00006_EN_2325,active
TM152,Endress+Hauser,Temperature,iTHERM ModuLine,,Industrial Modular Thermometers,temp-industrial-modular-thermometers,iTHERM ModuLine TM152,"Modular thermometer, barstock thermowell, StrongSens",RTD / TC,TC: -40 to +1100 C; RTD: -200 to +600 C,,TC: -40 to +1100 C; RTD: -200 to +600 C,,Barstock thermowell,,"4-20 mA, HART, PROFINET/APL, FF, IO-Link, PROFIBUS PA",iTHERM StrongSens/QuickSens,ATEX/IECEx; CSA C/US; INMETRO; NEPSI; UK Ex; SIL 2/SC 3; DNV,,TM152.png,FA00006_EN_2325,active
